id,airport_name,country,city,code
2686,Shaheed Benazirabad Airport,PK,Nawabashah,WNS
2687,Panjgur Airport,PK,Panjgur,PJG
2688,Pasni Airport,PK,Pasni,PSI
2689,Peshawar International Airport,PK,Peshawar,PEW
2690,Quetta International Airport,PK,Quetta,UET
2691,Shaikh Zaid Airport,PK,Rahim Yar Khan,RYK
2692,Rawalakot Airport,PK,Rawalakot,RAZ
2693,Skardu Airport,PK,Skardu,KDU
2694,Sukkur Airport,PK,Mirpur Khas,SKZ
2695,Sehwan Sharif Airport,PK,Sehwan Sharif,SYW
2696,Mushaf Air Base,PK,Sargodha,SGI
2697,Saidu Sharif Airport,PK,Saidu Sharif,SDT
2698,Sialkot International Airport,PK,Sialkot,SKT
2699,Sui Airport,PK,Sui,SUL
2700,Turbat International Airport,PK,Turbat,TUK
2701,Zhob Airport,PK,Fort Sandeman,PZH
2702,Al Asad Air Base,IQ,Hīt,IQA
2703,Al Taqaddum Air Base,IQ,Al Habbaniyah,TQD
2704,Baghdad International Airport / New Al Muthana Air Base,IQ,Baghdad,BGW
2705,Mosul International Airport,IQ,Mosul,OSM
2706,Erbil International Airport,IQ,Arbil,EBL
2707,Kirkuk Air Base,IQ,Kirkuk,KIK
2708,Basra International Airport,IQ,Basra,BSR
2709,Al Najaf International Airport,IQ,Najaf,NJF
2710,Qayyarah West Airport,IQ,Qayyarah,RQW
2711,Sulaymaniyah International Airport,IQ,Sulaymaniyah,ISU
2712,Ali Air Base,IQ,Nasiriyah,XNH
2713,Aleppo International Airport,SY,Aleppo,ALP
2714,Damascus International Airport,SY,Damascus,DAM
2715,Deir ez-Zor Airport,SY,Deir ez-Zor,DEZ
2716,Qamishli Airport,SY,Qamishly,KAC
2717,Hmeimim Air Base,SY,Latakia,LTK
2718,Palmyra Airport,SY,Tadmur,PMS
2719,Al Udeid Air Base,QA,Ar Rayyan,XJD
2720,Hamad International Airport,QA,Doha,DOH
2721,Aden International Airport,YE,Aden,ADE
2722,Ataq Airport,YE,Ataq,AXK
2723,Al Ghaydah International Airport,YE,Al Ghaydah,AAY
2724,Hodeidah International Airport,YE,Hodeida,HOD
2725,Riyan Mukalla International Airport,YE,Riyan,RIY
2726,Sana'a International Airport,YE,Sana'a,SAH
2727,Socotra International Airport,YE,Socotra Islands,SCT
2728,Seiyun Hadhramaut International Airport,YE,Seiyun,GXF
2729,Ta'izz International Airport,YE,Ta'izz,TAI
2730,Zagora Airport,MA,Zagora,OZG
2731,Warren Bud Woods Palmer Municipal Airport,US,Palmer,PAQ
2732,Barter Island Long Range Radar Station Airport,US,Barter Island,BTI
2733,Bethel Airport,US,Bethel,BET
2734,Allen Army Airfield,US,Delta Junction Ft Greely,BIG
2735,Wiley Post Will Rogers Memorial Airport,US,Utqiaġvik,BRW
2736,Cold Bay Airport,US,Cold Bay,CDB
2737,Merle K (Mudhole) Smith Airport,US,Cordova,CDV
2738,Cape Romanzof LRRS Airport,US,Cape Romanzof,CZF
2739,Deering Airport,US,Deering,DRG
2740,Adak Airport,US,Adak,ADK
2741,Dillingham Airport,US,Dillingham,DLG
2742,Kodiak Airport,US,Kodiak,ADQ
2743,Tom Madsen (Dutch Harbor) Airport,US,Unalaska,DUT
2744,Elmendorf Air Force Base,US,Anchorage,EDF
2745,Cape Newenham LRRS Airport,US,Cape Newenham,EHM
2746,Eielson Air Force Base,US,Fairbanks,EIL
2747,Emmonak Airport,US,Emmonak,EMK
2748,Kenai Municipal Airport,US,Kenai,ENA
2749,Fairbanks International Airport,US,Fairbanks,FAI
2750,Ladd Army Airfield,US,Fairbanks,FBK
2751,Ambler Airport,US,Ambler,ABL
2752,Edward G. Pitka Sr Airport,US,Galena,GAL
2753,Gulkana Airport,US,Gulkana,GKN
2754,Gambell Airport,US,Gambell,GAM
2755,Gustavus Airport,US,Gustavus,GST
2756,Holy Cross Airport,US,Holy Cross,HCR
2757,Huslia Airport,US,Huslia,HSL
2758,Haines Airport,US,Haines,HNS
2759,Homer Airport,US,Homer,HOM
2760,Egegik Airport,US,Egegik,EGX
2761,Bob Baker Memorial Airport,US,Kiana,IAN
2762,Iliamna Airport,US,Iliamna,ILI
2763,Indian Mountain LRRS Airport,US,Utopia Creek,UTO
2764,Juneau International Airport,US,Juneau,JNU
2765,King Salmon Airport,US,King Salmon,AKN
2766,Anaktuvuk Pass Airport,US,Anaktuvuk Pass,AKP
2767,Ketchikan International Airport,US,Ketchikan,KTN
2768,Klawock Airport,US,Klawock,KLW
2769,Cape Lisburne LRRS Airport,US,Cape Lisburne,LUR
2770,McGrath Airport,US,McGrath,MCG
2771,Merrill Field,US,Anchorage,MRI
2772,Mekoryuk Airport,US,Mekoryuk,MYU
2773,Ted Stevens Anchorage International Airport,US,Anchorage,ANC
2774,Aniak Airport,US,Aniak,ANI
2775,Nenana Municipal Airport,US,Nenana,ENN
2776,Annette Island Airport,US,Metlakatla,ANN
2777,Anvik Airport,US,Anvik,ANV
2778,Nome Airport,US,Nome,OME
2779,Northway Airport,US,Northway,ORT
2780,Ralph Wien Memorial Airport,US,Kotzebue,OTZ
2781,St George Airport,US,St George,STG
2782,Port Clarence Coast Guard Station,US,Port Clarence,KPC
2783,Petersburg James A Johnson Airport,US,Petersburg,PSG
2784,Port Heiden Airport,US,Port Heiden,PTH
2785,Platinum Airport,US,Platinum,PTU
2786,Nuiqsut Airport,US,Nuiqsut,NUI
2787,Arctic Village Airport,US,Arctic Village,ARC
2788,Ruby Airport,US,Ruby,RBY
2789,Savoonga Airport,US,Savoonga,SVA
2790,Deadhorse Airport,US,Deadhorse,SCC
2791,Sand Point Airport,US,Sand Point,SDP
2792,Sitka Rocky Gutierrez Airport,US,Sitka,SIT
2793,St Paul Island Airport,US,St Paul Island,SNP
2794,Sparrevohn LRRS Airport,US,Sparrevohn,SVW
2795,Soldotna Airport,US,Soldotna,SXQ
2796,Eareckson Air Station,US,Shemya,SYA
2797,Talkeetna Airport,US,Talkeetna,TKA
2798,Tatalina LRRS Airport,US,Takotna,TLJ
2799,Atqasuk Edward Burnell Sr Memorial Airport,US,Atqasuk,ATK
2800,Unalakleet Airport,US,Unalakleet,UNK
2801,Valdez Pioneer Field,US,Valdez,VDZ
2802,Seward Airport,US,Seward,SWD
2803,Wrangell Airport,US,Wrangell,WRG
2804,Wainwright Airport,US,Wainwright,AIN
2805,Wasilla Airport,US,Wasilla,WWA
2806,Yakutat Airport,US,Yakutat,YAK
2807,Canton Island Airport,KI,Abariringa,CIS
2808,Fort Yukon Airport,US,Fort Yukon,FYU
2809,Balimo Airport,PG,Balimo,OPU
2810,Baimuru Airport,PG,Baimuru,VMU
2811,Rota International Airport,MP,Rota Island,ROP
2812,Saipan International Airport,MP,"I Fadang, Saipan",SPN
2813,Andersen Air Force Base,GU,Yigo,UAM
2814,Antonio B. Won Pat International Airport,GU,Hagåtña,GUM
2815,Tinian International Airport,MP,Tinian Island,TIQ
2816,Laguindingan International Airport,PH,Laguindingan,CGY
2817,Cagayan North International Airport,PH,Lal-lo,LLC
2818,Barking Sands Airport,US,Kekaha,BKH
2819,Hana Airport,US,Hana,HNM
